"WEBRSVOPT037","WOP","web予約オプション",,"P12","動脈硬化","082","","","",""
"WEBRSVOPT038","WOP","web予約オプション",,"P13","心不全スクリーニング","084","","","",""
"WEBRSVOPT039","WOP","web予約オプション",,"P14","内臓脂肪面積","085","","","",""
"WEBRSVOPT040","WOP","web予約オプション",,"P15","栄養相談","","","","",""
"WEBRSVOPT041","WOP","web予約オプション",,"P16","抗核抗体検査","089","","","",""
"WEBRSVOPT042","WOP","web予約オプション",,"P17","抗CCP抗体検査","090","","","",""
"WEBRSVOPT043","WOP","web予約オプション",,"P-XandE","乳房Ｘ線、乳房超音波","012","","","",""
"CET00103","CET","コース別群別終了時間",,"CSLDIV017","3","1630","フルオプション（3群）","","",""
"SPC0061","SPC","特定保健指導対象団体",,"06005","00011","40","74","Ｔ－ＰＥＣ株式会社（社員対象）","外国運輸金融健康保険組合",""
"SPC0072","SPC","特定保健指導対象団体",,"06005","00016","40","74","ｻﾞ・ﾊﾟﾄﾅﾑ・ｱﾄﾞﾊﾞｲｻﾞﾘｰ・ｶﾝﾊﾟﾆｰ・ｴﾙｴﾙｼｰ","外国運輸金融健康保険組合",""
"LST00002190","LST","オプション検査",,"090","抗CCP抗体検査","Cyclic Citrullinated Peptide Antibodies","","","",""
"SPC0020","SPC","特定保健指導対象団体",,"22098","00001","40","74","日本テレビ放送網健康保険組合","日本テレビ放送網健康保険組合",""
"OET00006","OET","オプション・群別終了時間",,"082","6","1630","動脈硬化（6群）","","",""
"SPC0060","SPC","特定保健指導対象団体",,"06005","00010","40","74","コメルツ銀行東京支店","外国運輸金融健康保険組合",""
"SPC0065","SPC","特定保健指導対象団体",,"06005","00013","40","74","ナショナルオーストラリアバンクリミテッド","外国運輸金融健康保険組合",""
"SPC0070","SPC","特定保健指導対象団体",,"06005","00014","40","74","日本スペンサースチュアート株式会社","外国運輸金融健康保険組合",""
"SPC0075","SPC","特定保健指導対象団体",,"06005","00017","40","74","パトナム・インベストメンツ証券株式会社","外国運輸金融健康保険組合",""
"SPC0080","SPC","特定保健指導対象団体",,"06005","00018","40","74","ウニクレディト銀行","外国運輸金融健康保険組合",""
"SPC0085","SPC","特定保健指導対象団体",,"06005","00019","40","74","ｳﾞｧｰｼﾞﾝｱﾄﾗﾝﾃｲｯｸ航空","外国運輸金融健康保険組合",""
"SPC0090","SPC","特定保健指導対象団体",,"06005","00020","40","74","フィッチ・レーティングス・ジャパン株式会社","外国運輸金融健康保険組合",""
"SPC0105","SPC","特定保健指導対象団体",,"06005","00025","40","74","ガルーダ・インドネシア航空会社","外国運輸金融健康保険組合",""
"SPC0110","SPC","特定保健指導対象団体",,"06005","00026","40","74","ﾊｲﾎﾟ･ﾘｱﾙ･ｴｽﾃｰﾄ･ｷｬﾋﾟﾀﾙ･ｼﾞｬﾊﾟﾝ株式会社","外国運輸金融健康保険組合",""
"SPC0125","SPC","特定保健指導対象団体",,"06005","00029","40","74","バークレイズ・バンク・ピーエルシー東京支店","外国運輸金融健康保険組合",""
"OET00003","OET","オプション・群別終了時間",,"082","3","1630","動脈硬化（3群）","","",""
"OET00007","OET","オプション・群別終了時間",,"082","7","1630","動脈硬化（7群）","","",""
"OET00104","OET","オプション・群別終了時間",,"083","4","1630","頸動脈超音波（4群）","","",""
"OET00106","OET","オプション・群別終了時間",,"083","6","1630","頸動脈超音波（6群）","","",""
"PATIENT08","PAT","個人票対象コース",,"223","深夜勤務者健診","","","","",""
"PATIENT09","PAT","個人票対象コース",,"225","看大学生健診","","","","",""
"SCHD100190","SCD","スケジュール表検査項目",,"１９","眼圧・眼底","C","","","",""
"SCHD100240","SCD","スケジュール表検査項目",,"１７","胃透視前チェック","C","","","",""
"LST00002187","LST","オプション検査",,"088","婦人科超音波","Gynecological Ultrasound","","","",""
"SCHD100120","SCD","スケジュール表検査項目",,"","胸部CT","B","","","",""
"SCHD100130","SCD","スケジュール表検査項目",,"９","心電図","B","","","",""
"SPC0120","SPC","特定保健指導対象団体",,"06005","00028","40","74","バークレイズ・ウェルス・サービシズ株式会社","外国運輸金融健康保険組合",""
"CET00003","CET","コース別群別終了時間",,"CSLDIV016","3","1200","後日内視鏡（3群）","","",""
"CET00006","CET","コース別群別終了時間",,"CSLDIV016","6","1430","後日内視鏡（6群）","","",""
"CET00104","CET","コース別群別終了時間",,"CSLDIV017","4","1630","フルオプション（4群）","","",""
"CET00105","CET","コース別群別終了時間",,"CSLDIV017","5","1630","フルオプション（5群）","","",""
"OET00001","OET","オプション・群別終了時間",,"082","1","1630","動脈硬化（1群）","","",""
"ERRFILE2","XXX","連携ログLoopエラー検知ファイル格納先",13-11-22,"D:\webHains\Renkei","loopAlert.log","","","","",""
"SCHD100410","SCD","スケジュール表検査項目",,"","婦人科超音波","C","","","",""
"SPC0155","SPC","特定保健指導対象団体",,"06005","00032","40","74","中国海運日本株式会社","外国運輸金融健康保険組合",""
"SCHD100090","SCD","スケジュール表検査項目",,"４","超音波（腹部）","B","","","",""
"SCHD100210","SCD","スケジュール表検査項目",,"１５","自己視触診指導","C","","","",""
"SCHD100200","SCD","スケジュール表検査項目",,"１６","聴力","C","","","",""
"SCHD100100","SCD","スケジュール表検査項目",,"２１","超音波（乳房）","C","","","",""
"SCHD100230","SCD","スケジュール表検査項目",,"１８","メンタルチェック","C","","","",""
"SCHD100280","SCD","スケジュール表検査項目",,"","Cホール２カウンター","C","","","",""
"SCHD100390","SCD","スケジュール表検査項目",,"４","超音波（頸動脈）","C","","","",""
"CHG201304","CH3","特定健診改定（2013.04.01）",,"2013/04/01","","","","","",""
"CET00108","CET","コース別群別終了時間",,"CSLDIV017","8","1630","フルオプション（8群）","","",""
"SCHD100050","SCD","スケジュール表検査項目",,"","オリエンテーション","B","","","",""
"SCHD100070","SCD","スケジュール表検査項目",,"１","身体計測・腹囲","B","","","",""
"SCHD100060","SCD","スケジュール表検査項目",,"２","血圧","B","","","",""
"SCHD100110","SCD","スケジュール表検査項目",,"５","胸部X線","B","","","",""
"SCHD100380","SCD","スケジュール表検査項目",,"","内臓脂肪面積","B","","","",""
"CET00102","CET","コース別群別終了時間",,"CSLDIV017","2","1630","フルオプション（2群）","","",""
"RPTV011","REP","成績書オプション管理コード",,"心不全スクリーニング","2","37","X112","","",""
"SPTZK005","SPT","成績書過去結果出力団体",,"17015-00000","中部日本放送健康保険組合","ZZ","","","",""
"BILLNOT011","BIL","請求情報抽出対象外団体",,"21004","00000","ナイジェリア大使館","","","",""
"SPC0010","SPC","特定保健指導対象団体",,"22132","00000","40","73","SMBC日興証券グループ健康保険組合","SMBC日興証券グループ健康保険組合",""
"SPC0015","SPC","特定保健指導対象団体",,"22098","00000","40","74","日本テレビ放送網株式会社","日本テレビ放送網健康保険組合",""
"RPTV012","REP","成績書オプション管理コード",,"婦人科超音波","2","38","X696","","",""
"USR609","USR","ユーザー小グループ",,"リーダ放射線","UGR600","","","","",""
"USR911","USR","ユーザー小グループ",,"コメディカル","UGR900","","","","",""
"CHG201210","CH2","OCR切替対応日付（2012.10.01）",,"2012/10/01","","","","","",""
"CET00001","CET","コース別群別終了時間",,"CSLDIV016","1","1130","後日内視鏡（1群）","","",""
"SCHD100080","SCD","スケジュール表検査項目",,"３","採血","B","","","",""
"SCHD100180","SCD","スケジュール表検査項目",,"０","視力","C","","","",""
"SCHD100260","SCD","スケジュール表検査項目",,"１２","婦人科診察","C","","","",""
"SCHD100270","SCD","スケジュール表検査項目",,"１３","乳房X線","C","","","",""
"SCHD100400","SCD","スケジュール表検査項目",,"","動脈硬化","C","","","",""
"MONSHIN0101","MSN","問診コースグループ",,"100","","","","","",""
"MONSHIN0102","MSN","問診コースグループ",,"105","","","","","",""
"MONSHIN0103","MSN","問診コースグループ",,"110","","","","","",""
"LST0004204","LST","ワークシート個人票チェックリスト",,"223","深夜勤務者健診","","","","",""
"SPC0001","SPC","特定保健指導対象団体",,"32008","00000","40","54","三井物産健康保険組合（本人）","三井物産健康保険組合",""
"OPT010","OPT","オプション検査面接表示名称",,"10","大腸３Ｄ－ＣＴ","X115","","","",""
"OPT011","OPT","オプション検査面接表示名称",,"11","内臓脂肪面積","X111","","","",""
"OPT012","OPT","オプション検査面接表示名称",,"12","心不全スクリーニング","X112","","","",""
"OPT013","OPT","オプション検査面接表示名称",,"13","頸動脈超音波","X113","","","",""
"OPT014","OPT","オプション検査面接表示名称",,"14","動脈硬化","X114","","","",""
"SPC0002","SPC","特定保健指導対象団体",,"32008","00002","40","54","三井物産健康保険組合（家族）","三井物産健康保険組合",""
"BILLNOT012","BIL","請求情報抽出対象外団体",,"99999","90004","学校法人　聖路加国際大学","","","",""
"UGR900","UGR","ユーザー大グループ",,"メディローカス","","","","","",""
"DISEASE112","GYN","現病歴コメント（婦人科関連）",,"103101","","","","","",""
"DISEASE113","GYN","現病歴コメント（婦人科関連）",,"103101","","","","","",""
"DISEASE114","GYN","現病歴コメント（婦人科関連）",,"103101","","","","","",""
"DISEASE115","GYN","現病歴コメント（婦人科関連）",,"103101","","","","","",""
"YUDOCS030","YDC","誘導対象コース",,"255","","","","","",""
"USR610","USR","ユーザー小グループ",,"リーダ検査","UGR600","","","","",""
"LST00002191","LST","オプション検査",,"043","ＰＳＡ","PSA","","","",""
"SPC0047","SPC","特定保健指導対象団体",,"06005","00002","40","74","アルゼンチン航空","外国運輸金融健康保険組合",""
"SPTZK004","SPT","成績書過去結果出力団体",,"32008-00002","三井物産健康保険組合（家族）","ZZ","","","",""
"ODRE00100","ODR","検体検査",,"検体検査","SPEC-ORDER","777700","0","2","ORDDIV000001",""
"ODRE00600","ODR","輸血検査",,"輸血検査","TPCOM","777700","0","2","ORDDIV000002",""
"ODRE01000","ODR","細胞診検査",,"細胞診検査","TEST-ORDER","777700","0","3","ORDDIV000004",""
"ODRE01400","ODR","婦人科細胞診",,"婦人科細胞診","TEST-ORDER","777700","0","3","ORDDIV000005",""
"ODRJ01000","ODR","心電図",,"心電図","YOYAKU","777700","0","2","ORDDIV000006",""
"ODRF12000","ODR","Ｅｃｈｏ",,"Ｅｃｈｏ","YOYAKU","777700","0","1","ORDDIV000007",""
"ODRF12001","ODR","Ｅｃｈｏ",,"Ｅｃｈｏ","YOYAKU","777700","0","1","ORDDIV000008",""
"ODRF01001","ODR","一般撮影",,"一般撮影","YOYAKU","777700","0","1","ORDDIV000009",""
"ODRF07000","ODR","ＣＴ",,"ＣＴ","YOYAKU","777700","0","1","ORDDIV000010",""
"ODRF09000","ODR","透視検査",,"透視検査","YOYAKU","777700","0","1","ORDDIV000011",""
"ODRF16000","ODR","乳房",,"乳房","YOYAKU","777700","0","1","ORDDIV000012",""
"ODRQ00100","ODR","眼底検査（予防）",,"眼底検査（予防）","TPCOM","777700","0","1","ORDDIV000013",""
"ODRG01000","ODR","上部消化管内視鏡",,"上部消化管内視鏡","YOYAKU","777700","0","1","ORDDIV000014",""
"ODRG02000","ODR","大腸内視鏡検査",,"大腸内視鏡検査","YOYAKU","777700","0","1","ORDDIV000015",""
"ODRF07001","ODR","ＣＴ",,"ＣＴ","YOYAKU","777700","0","1","ORDDIV000016",""
"ODRF07002","ODR","ＣＴ",,"ＣＴ","YOYAKU","777700","0","1","ORDDIV000017",""
"ODRF12002","ODR","Ｅｃｈｏ",,"Ｅｃｈｏ","YOYAKU","777700","0","1","ORDDIV000018",""
"ODRJ14000","ODR","CAVI・ABI",,"CAVI・ABI","YOYAKU","777700","0","2","ORDDIV000019",""
"ODRF12003","ODR","婦人科超音波検査",,"婦人科超音波検査","YOYAKU","777700","0","1","ORDDIV000020",""
"DISEASE63","DIS","現病歴コメント",,"103055","","","","","",""
"LST00002181","LST","オプション検査",,"086","大腸3D-CT","3D-CT Colonography","","","",""
"CET00007","CET","コース別群別終了時間",,"CSLDIV016","7","1430","後日内視鏡（7群）","","",""
"CET00008","CET","コース別群別終了時間",,"CSLDIV016","8","1500","後日内視鏡（8群）","","",""
"CET00002","CET","コース別群別終了時間",,"CSLDIV016","2","1200","後日内視鏡（2群）","","",""
"CET00004","CET","コース別群別終了時間",,"CSLDIV016","4","1345","後日内視鏡（4群）","","",""
"CET00101","CET","コース別群別終了時間",,"CSLDIV017","1","1630","フルオプション（1群）","","",""
"RPTV013","REP","成績書オプション管理コード",,"抗核抗体","2","39","","","",""
"HLORG01","HLO","団体名称ハイライト表示条件",,"10","DATE","","DATE：日付形式 / FIX：固定文書（汎用フィールド３と比較）をフィールド２に設定","比較する固定文書を汎用フィールド３に指定（汎用フィールだ２が「FIX」の時参照）","",""
"OET00108","OET","オプション・群別終了時間",,"083","8","1630","頸動脈超音波（8群）","","",""
"LST00002182","LST","オプション検査",,"082","動脈硬化","Atherosclerosis screening","","","",""
"ORDDIV000016","ORD","大腸CT検査",,"6","2397001","","","","",""
"ORDDIV000017","ORD","ＦＡＴ　CT検査",,"6","2491000","","","","",""
"ORDDIV000018","ORD","頸動脈超音波検査",,"6","2251001","","","","",""
"ORDDIV000019","ORD","ＣＡＶＩ・ＡＢＩ検査",,"6","2272001","","","","",""
"STENOSIS0001","STE","狭窄率限界値",,"50.0","1999/01/01","2099/12/31","","","",""
"OET00004","OET","オプション・群別終了時間",,"082","4","1630","動脈硬化（4群）","","",""
"OET00005","OET","オプション・群別終了時間",,"082","5","1630","動脈硬化（5群）","","",""
"OET00008","OET","オプション・群別終了時間",,"082","8","1630","動脈硬化（8群）","","",""
"OET00101","OET","オプション・群別終了時間",,"083","1","1630","頸動脈超音波（1群）","","",""
"OET00107","OET","オプション・群別終了時間",,"083","7","1630","頸動脈超音波（7群）","","",""
"LST00002192","LST","オプション検査",,"044","婦人科検診","Gynecological Examination","","","",""
"SPC0102","SPC","特定保健指導対象団体",,"06005","00024","40","74","ﾏﾝﾓｰﾄﾄﾗﾝｽﾎﾟｰﾄﾋﾞｰ･ｳﾞｨｰ･日本支社","外国運輸金融健康保険組合",""
"MORSETGRP71","MOR","セット別受診者情報朝（朝レポート用）",,"71","【後日管理】大腸CT","K0805","","","",""
"MORSETGRP72","MOR","セット別受診者情報朝（朝レポート用）",,"72","大腸３Ｄ－ＣＴ","K0810","","","",""
"MORSETGRP73","MOR","セット別受診者情報朝（朝レポート用）",,"73","頸動脈超音波","K0820","","","",""
"MORSETGRP74","MOR","セット別受診者情報朝（朝レポート用）",,"74","動脈硬化","K0830","","","",""
"MORSETGRP75","MOR","セット別受診者情報朝（朝レポート用）",,"75","内臓脂肪面積","K0840","","","",""
"MORSETGRP76","MOR","セット別受診者情報朝（朝レポート用）",,"76","心不全スクリーニング","K0850","","","",""
"OET00002","OET","オプション・群別終了時間",,"082","2","1630","動脈硬化（2群）","","",""
"SPC0150","SPC","特定保健指導対象団体",,"06005","00030","40","74","JPモルガン証券（株）","外国運輸金融健康保険組合",""
"RPTV014","REP","成績書オプション管理コード",,"抗CCP抗体","2","40","","","",""
"SPC0043","SPC","特定保健指導対象団体",,"04040","00000","40","74","ＨＶＢキャピタル証券会社","外国運輸金融健康保険組合",""
"SPC0056","SPC","特定保健指導対象団体",,"06005","00005","40","74","ケアテンプ株式会社（外運）","外国運輸金融健康保険組合",""
"SPC0057","SPC","特定保健指導対象団体",,"06005","00006","40","74","リバティ･ミューチュアル･インシュアランス","外国運輸金融健康保険組合",""
"SPC0058","SPC","特定保健指導対象団体",,"06005","00008","40","74","プルデンシャル生命保険株式会社","外国運輸金融健康保険組合",""
"SPC0059","SPC","特定保健指導対象団体",,"06005","00009","40","74","アールエスエイサービシズ株式会社","外国運輸金融健康保険組合",""
"CET00005","CET","コース別群別終了時間",,"CSLDIV016","5","1345","後日内視鏡（5群）","","",""
"CET00106","CET","コース別群別終了時間",,"CSLDIV017","6","1630","フルオプション（6群）","","",""
"CET00107","CET","コース別群別終了時間",,"CSLDIV017","7","1630","フルオプション（7群）","","",""
"OET00102","OET","オプション・群別終了時間",,"083","2","1630","頸動脈超音波（2群）","","",""
"OET00103","OET","オプション・群別終了時間",,"083","3","1630","頸動脈超音波（3群）","","",""
"OET00105","OET","オプション・群別終了時間",,"083","5","1630","頸動脈超音波（5群）","","",""
"USR505","USR","ユーザー小グループ",,"看護助手","UGR500","","","","",""
"METADIS63","MBS","メタボリックシンドローム",,"105001","105002","48","","","",""
"METASTS5","STS","メタボリックシンドローム関連治療状況",,"","","5","薬剤治療中","","",""
"BILLNOT007","BIL","請求情報抽出対象外団体",,"99999","70000","聖路加国際病院（福利厚生）","","","",""
"BILLNOT001","BIL","請求情報抽出対象外団体",,"99999","10000","３０・３５・４０歳以上職員定期健康診断","","","",""
"BILLNOT002","BIL","請求情報抽出対象外団体",,"99999","10001","雇入時健診","","","",""
"BILLNOT003","BIL","請求情報抽出対象外団体",,"99999","10002","定期健康診断","","","",""
"BILLNOT004","BIL","請求情報抽出対象外団体",,"99999","20000","聖路加家族割引（減免２０）","","","",""
"BILLNOT005","BIL","請求情報抽出対象外団体",,"99999","20001","聖路加家族割引（減免５０）","","","",""
"BILLNOT006","BIL","請求情報抽出対象外団体",,"99999","50000","（株）聖ルカ健康情報センター","","","",""
"BILLNOT010","BIL","請求情報抽出対象外団体",,"99999","20005","聖路加家族割引　（給与天引き用ﾀﾞﾐｰ）","","","",""
"YUDOCS028","YDC","誘導対象コース",,"125","","","","","",""
"MORSETGRP77","MOR","セット別受診者情報朝（朝レポート用）",,"77","HPV","K0595","","","",""
"SCHD100150","SCD","スケジュール表検査項目",,"１１","肺機能","B","","","",""
"SCHD100170","SCD","スケジュール表検査項目",,"","Cホール１カウンター","C","","","",""
"MORSETGRP18","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"18","胃部内視鏡","K0180","","","",""
"MORSETGRP19","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"19","血液一般","K0190","","","",""
"MORSETGRP20","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"20","血液像","K0200","","","",""
"MORSETGRP21","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"21","肝機能１","K0210","","","",""
"MORSETGRP22","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"22","肝機能２","K0220","","","",""
"MORSETGRP23","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"23","腎機能","K0230","","","",""
"MORSETGRP24","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"24","尿酸","K0240","","","",""
"MORSETGRP25","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"25","電解質","K0250","","","",""
"MORSETGRP26","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"26","脂質代謝","K0260","","","",""
"MORSETGRP27","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"27","空腹時血糖","K0270","","","",""
"MORSETGRP28","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"28","ＨbA1C","K0280","","","",""
"MORSETGRP29","MOR","セット別受診者情報朝（朝レポート用）",03-01-04,"29","梅毒定性","K0290","","","",""
"LST0050003","LST","生理検査統計",,"11175","00","3","","","","眼底"
"LOGRSVCON","LOG","受診情報からの一括予約",,"","","","","","",""
"LOGRSVCSV","LOG","CSVからの一括予約",,"","","","","","",""
"LOGRSVDEL","LOG","予約一括削除",,"","","","","","",""
"LOGRSVPER","LOG","個人情報からの一括予約",,"","","","","","",""
"LOGSCREENING","LOG","スクリーニング",,"","","","","","",""
"LOGUPDOPT","LOG","オプション検査更新",,"","","","","","",""
"LST0000101","LST","１年目はがき出力対象コース",03-12-16,"100","","","","","",""
"LST0000210","LST","オプション検査",03-11-29,"006","喀痰細胞診","Sputum Cytology","","","",""
"LST0000211","LST","オプション検査",03-11-29,"007","胸部ＣＴ","Chest CT","","","",""
"LST0000212","LST","オプション検査",03-11-29,"008","胸部ＣＴ、喀痰細胞診","Chest CT,Sputum Cytology","Sputum Cytology","","",""
"LST0000213","LST","オプション検査",03-11-29,"010","マンモグラフィー（乳房X線）","Mammogram","","","",""
"LST0000214","LST","オプション検査",03-11-29,"011","乳房超音波（乳房エコー）","Breast Ultrasound","","","",""
"LST0000215","LST","オプション検査",03-11-29,"012","マンモグラフィー、乳房超音波","Mammogram,Breast Ultrasound","Breast Ultrasound","","",""
"LST0000216","LST","オプション検査",03-11-29,"013","大腸内視鏡","Colon Fiberscope","","","",""
"LST0000220","LST","胃区分",03-12-08,"X502","1","(胃Ｘ線)","(G.I.)","","",""
"LST0000221","LST","胃区分",03-12-08,"X502","2","(胃内視鏡)","(G.F.)","","",""
"LST0000222","LST","ご案内書便検査",,"X503","1","3","","","",""
"LST0000600","LST","送付チェックリスト",,"100","","","","","",""
"LST0000601","LST","送付チェックリスト",,"110","","","","","",""
"LST0000901","LST","対象コース",03-12-16,"100","","","","","",""
"LST0000902","LST","対象コース",03-12-16,"110","","","","","",""
"LST0001301","LST","対象コース",03-12-16,"100","","","","","",""
"LST0001302","LST","対象コース",03-12-16,"110","","","","","",""
"LST0001901","LST","オプション検査",03-12-18,"100","","","","","",""
"LST0001902","LST","オプション検査",03-12-18,"110","","","","","",""
"LST0042001","LST","面接・食事券",03-12-22,"100","","","","","",""
"LST0042002","LST","面接・食事券",03-12-22,"110","","","","","",""
"NATION0100","NAT","国籍",,"アイスランド共和国","","","","","",""
"NATION0101","NAT","国籍",,"アイルランド","","","","","",""
"NATION0102","NAT","国籍",,"アゼルバイジャン共和国","","","","","",""
"NATION0103","NAT","国籍",,"アフガニスタン","","","","","",""
"NATION0104","NAT","国籍",,"アメリカ合衆国","","","","","",""
"NATION0105","NAT","国籍",,"アラブ首長国連邦","","","","","",""
"NATION0106","NAT","国籍",,"アルジェリア民主人民共和国","","","","","",""
"NATION0107","NAT","国籍",,"アルゼンティン共和国","","","","","",""
"NATION0108","NAT","国籍",,"アルバニア共和国","","","","","",""
"NATION0109","NAT","国籍",,"アルメニア共和国","","","","","",""
"NATION0110","NAT","国籍",,"アンゴラ共和国","","","","","",""
"NATION0111","NAT","国籍",,"アンティグア・バーブーダ","","","","","",""
"NATION0112","NAT","国籍",,"アンドラ公国","","","","","",""
"NATION0200","NAT","国籍",,"イエメン共和国","","","","","",""
"NATION0201","NAT","国籍",,"イスラエル国","","","","","",""
"NATION0202","NAT","国籍",,"イタリア共和国","","","","","",""
"NATION0203","NAT","国籍",,"イラク共和国","","","","","",""
"NATION0204","NAT","国籍",,"イラン・イスラム共和国","","","","","",""
"NATION0205","NAT","国籍",,"インド","","","","","",""
"NATION0206","NAT","国籍",,"インドネシア共和国","","","","","",""
"NATION0300","NAT","国籍",,"ヴァチカン市国","","","","","",""
"NATION0301","NAT","国籍",,"ヴァヌアツ共和国","","","","","",""
"NATION0302","NAT","国籍",,"ヴィエトナム社会主義共和国","","","","","",""
"NATION0303","NAT","国籍",,"ヴェネズエラ・ボリヴァル共和国","","","","","",""
"NATION0304","NAT","国籍",,"ウガンダ共和国","","","","","",""
"NATION0305","NAT","国籍",,"ウクライナ","","","","","",""
"NATION0306","NAT","国籍",,"ウズベキスタン共和国","","","","","",""
"NATION0307","NAT","国籍",,"ウルグァイ東方共和国","","","","","",""
"NATION0400","NAT","国籍",,"英国","","","","","",""
"NATION0401","NAT","国籍",,"エクアドル共和国","","","","","",""
"NATION0402","NAT","国籍",,"エジプト・アラブ共和国","","","","","",""
"NATION0403","NAT","国籍",,"エストニア共和国","","","","","",""
"NATION0404","NAT","国籍",,"エティオピア連邦民主共和国","","","","","",""
"NATION0405","NAT","国籍",,"エリトリア国","","","","","",""
"NATION0406","NAT","国籍",,"エル・サルヴァドル共和国","","","","","",""
"NATION0500","NAT","国籍",,"オーストラリア","","","","","",""
"NATION0501","NAT","国籍",,"オーストリア共和国","","","","","",""
"NATION0502","NAT","国籍",,"オマーン国","","","","","",""
"NATION0503","NAT","国籍",,"オランダ王国","","","","","",""
"NATION0600","NAT","国籍",,"ガーナ共和国","","","","","",""
"NATION0601","NAT","国籍",,"カザフスタン共和国","","","","","",""
"NATION0602","NAT","国籍",,"ガイアナ協同共和国","","","","","",""
"NATION0603","NAT","国籍",,"カタル国","","","","","",""
"NATION0604","NAT","国籍",,"カナダ","","","","","",""
"NATION0605","NAT","国籍",,"カーボ・ヴェルデ共和国","","","","","",""
"NATION0606","NAT","国籍",,"ガボン共和国","","","","","",""
"NATION0607","NAT","国籍",,"カメルーン共和国","","","","","",""
"NATION0608","NAT","国籍",,"ガンビア共和国","","","","","",""
"NATION0609","NAT","国籍",,"カンボディア王国","","","","","",""
"NATION0700","NAT","国籍",,"北朝鮮","","","","","",""
"NATION0701","NAT","国籍",,"ギニア共和国","","","","","",""
"NATION0702","NAT","国籍",,"ギニア・ビサオ共和国","","","","","",""
"NATION0703","NAT","国籍",,"キューバ共和国","","","","","",""
"NATION0704","NAT","国籍",,"ギリシャ共和国","","","","","",""
"NATION0705","NAT","国籍",,"キリバス共和国","","","","","",""
"NATION0706","NAT","国籍",,"キルギス共和国","","","","","",""
"NATION0800","NAT","国籍",,"グァテマラ共和国","","","","","",""
"NATION0801","NAT","国籍",,"クウェイト国","","","","","",""
"NATION0802","NAT","国籍",,"クック諸島","","","","","",""
"NATION0803","NAT","国籍",,"グルジア","","","","","",""
"NATION0804","NAT","国籍",,"グレートブリテンおよび北部アイルランド連合王国","","","","","",""
"NATION0805","NAT","国籍",,"グレナダ","","","","","",""
"NATION0806","NAT","国籍",,"クロアチア共和国","","","","","",""
"NATION0900","NAT","国籍",,"ケニア共和国","","","","","",""
"NATION1000","NAT","国籍",,"コスタ・リカ共和国","","","","","",""
"NATION1001","NAT","国籍",,"コモロ・イスラム連邦共和国","","","","","",""
"NATION1002","NAT","国籍",,"コロンビア共和国","","","","","",""
"NATION1003","NAT","国籍",,"コンゴー共和国","","","","","",""
"NATION1004","NAT","国籍",,"コンゴー民主共和国","","","","","",""
"NATION1100","NAT","国籍",,"サイプラス共和国","","","","","",""
"NATION1101","NAT","国籍",,"サウディ．アラビア王国","","","","","",""
"NATION1102","NAT","国籍",,"サモア独立国","","","","","",""
"NATION1103","NAT","国籍",,"サントメ・プリンシペ民主共和国","","","","","",""
"NATION1104","NAT","国籍",,"ザンビア共和国","","","","","",""
"NATION1105","NAT","国籍",,"サン・マリノ共和国","","","","","",""
"NATION1200","NAT","国籍",,"ジャマイカ","","","","","",""
"NATION1201","NAT","国籍",,"シエラ・レオーネ共和国","","","","","",""
"NATION1202","NAT","国籍",,"ジブティ共和国","","","","","",""
"NATION1203","NAT","国籍",,"ジョルダン・ハシェミット王国","","","","","",""
"NATION1204","NAT","国籍",,"シリア・アラブ共和国","","","","","",""
"NATION1205","NAT","国籍",,"シンガポール共和国","","","","","",""
"NATION1206","NAT","国籍",,"ジンバブエ共和国","","","","","",""
"NATION1300","NAT","国籍",,"スイス連邦","","","","","",""
"NATION1301","NAT","国籍",,"スウェーデン王国","","","","","",""
"NATION1302","NAT","国籍",,"スーダン共和国","","","","","",""
"NATION1303","NAT","国籍",,"スペイン","","","","","",""
"NATION1304","NAT","国籍",,"スリナム共和国","","","","","",""
"NATION1305","NAT","国籍",,"スリ・ランカ民主社会主義共和国","","","","","",""
"NATION1306","NAT","国籍",,"スロヴァキア共和国","","","","","",""
"NATION1307","NAT","国籍",,"スロヴェニア共和国","","","","","",""
"NATION1308","NAT","国籍",,"スワジランド王国","","","","","",""
"NATION1400","NAT","国籍",,"セイシェル共和国","","","","","",""
"NATION1401","NAT","国籍",,"赤道ギニア共和国","","","","","",""
"NATION1402","NAT","国籍",,"セント・ヴィンセントおよびグレナディーン諸島","","","","","",""
"NATION1403","NAT","国籍",,"セント・クリストファー・ネイヴィース","","","","","",""
"NATION1404","NAT","国籍",,"セント・ルシア","","","","","",""
"NATION1405","NAT","国籍",,"セネガル共和国","","","","","",""
"NATION1500","NAT","国籍",,"象牙海岸共和国","","","","","",""
"NATION1501","NAT","国籍",,"ソマリア民主共和国","","","","","",""
